UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
2	0
0	0
2	2
0	0
0	2
0	0
0	2
0	2
0	0
1	0
0	2
1	1
0	0
2	1
0	3
2	0
0	0
0	0
0	3
0	1
0	1
0	0
0	0
1	0
2	0
0	0
0	0
0	0
0	0
0	0
2	0
0	1
0	1
1	2
0	2
0	1
0	0
0	0
1	0
1	1
0	2
0	2
0	0
2	0
0	3
0	1
1	0
0	0
1	0
0	3
2	0
1	0
2	1
0	0
5	0
0	1
4	0
1	2
0	1
2	0
3	0
0	0
3	0
0	0
2	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
1	0
0	0
2	0
0	0
0	0
1	0
3	0
1	0
3	0
5	0
0	0
4	0
1	0
3	0
1	0
1	2
0	2
0	0
4	0
2	0
1	0
2	0
1	0
0	0
0	0
0	0
1	0
0	0
0	0
1	0
0	0
2	0
3	0
1	0
0	1
1	0
0	2
0	0
0	0
0	2
0	1
0	3
0	0
3	0
0	3
0	1
0	1
0	0
1	0
0	0
0	1
0	2
0	1
0	1
0	2
0	2
0	0
0	3
0	1
1	3
0	8
0	4
1	5
1	2
0	2
1	1
0	6
0	2
0	5
0	1
0	1
0	0
0	1
0	0
0	3
0	11
0	16
0	16
0	15
2	2
0	15
0	3
0	5
0	6
0	6
0	3
0	6
0	2
0	2
4	4820
2	4483
9	3511
0	2598
0	1334
0	2398
0	847
0	4474
0	1
0	50
65	476
1	41
0	95
0	100
2	18
15	72
3	6
0	25
0	25
56	111
0	11
0	35
0	19
0	23
0	20
2	6729
0	6729
0	11
1	11
3	0
0	7
1	0
0	0
0	0
231	4
0	6
0	0
0	3
2	52
0	2
1	0
0	3
0	40
10	10
3	3
0	3
23	31
0	3
0	2
0	223
0	517
0	525
0	982
0	373
0	162
0	128
0	458
0	503
1	3
9	53
0	41
0	3
0	3
0	3
2	3
0	3
4	0
3	0
0	2
0	510
0	518
0	451
0	496
0	427
0	413
0	5
0	1
0	1
0	8
2	0
0	1
0	5
0	1
0	2
0	0
0	2
0	2
0	0
0	1
0	2
0	1
0	1
0	5
0	9
0	4
0	1
0	8
0	8
0	8
1	6
0	225
0	525
0	560
0	408
0	152
0	538
0	495
58	274
3	394
13	47
0	381
0	393
0	7
0	7
2	0
0	0
0	0
5	0
0	2
0	1
0	2
2	0
0	1
0	1
0	2
3	0
0	7
3	0
9	3
0	10
0	1
2	0
